n 0 1 8.071323 sec 614.6
n2 0 2 16.142646 sec 614.6
h1 1 1 7.288969 stable 99.985
h2 1 2 13.13572 stable 0.015
h3 1 3 14.949794 year 12.329
he3 2 3 14.931204 stable 0.000137
he4 2 4 2.424911 stable 99.999863
he6 2 6 17.5941 sec 0.8067
he8 2 8 31.598 sec 0.119
he10 2 10 47.740646 sec 0.0
li6 3 6 14.0863 stable 7.59
li7 3 7 14.9077 stable 92.41
li8 3 8 20.9462 sec 0.8403
li9 3 9 24.9539 sec 0.1783
li11 3 11 40.796 sec 0.00859
be7 4 7 15.7695 day 53.28
be9 4 9 11.3476 stable 100.
be10 4 10 12.6066 Myear 1.51
be11 4 11 20.174 sec 13.81
be12 4 12 25.076 sec 0.0215
be14 4 14 39.88 sec 0.00432
b8 5 8 22.921 sec 0.77
b10 5 10 12.0508 stable 19.8
b11 5 11 8.668 stable 80.2
b12 5 12 13.3689 sec 0.0202
b13 5 13 16.5622 sec 0.01736
b14 5 14 23.664 sec 0.0123
b15 5 15 28.967 sec 0.00987
b17 5 17 43.72 sec 0.00508
b19 5 19 59.36 sec 0.0033
c9 6 9 28.9137 sec 0.1265
c10 6 10 15.6986 sec 19.29
c11 6 11 10.6505 sec 1223.1
c12 6 12 0. stable 98.89
c13 6 13 3.125011 stable 1.11
c14 6 14 3.019892 year 5730.
c15 6 15 9.8731 sec 2.449
c16 6 16 13.694 sec 0.753
c17 6 17 21.037 sec 0.193
c18 6 18 24.92 sec 0.092
c19 6 19 32.83 sec 0.0462
c20 6 20 37.56 sec 0.016
c22 6 22 52.58 sec 0.009 
n12 7 12 17.3381 sec 0.011
n13 7 13 5.34546 sec 0.009965
n14 7 14 2.863417 stable 99.634
n15 7 15 0.101438 stable 0.366
n16 7 16 5.6834 sec 7.13
n17 7 17 7.871 sec 4.173
n18 7 18 13.117 sec 0.624
n19 7 19 15.86 sec 0.271
n20 7 20 21.77 sec 0.13
n21 7 21 25.23 sec 0.087
n22 7 22 32.08 sec 0.018
n23 7 23 37.74 sec 0.0145
o13 8 13 23.111 sec 0.00858
o14 8 14 8.00646 sec 70.598
o15 8 15 2.8554 sec 122.24
o16 8 16 -4.736998 stable 99.762
o17 8 17 -0.809 stable 0.038
o18 8 18 -0.7821 stable 0.2
o19 8 19 3.334 sec 26.464
o20 8 20 3.7969 sec 13.51
o21 8 21 8.062 sec 3.42
o22 8 22 9.28 sec 2.25
o23 8 23 14.62 sec 0.09
o24 8 24 18.97 sec 0.065
f17 9 17 1.9517 sec 64.49
f18 9 18 0.8734 sec 6586.2
f19 9 19 -1.4874 stable 100.
f20 9 20 -0.0174 sec 11.163
f21 9 21 -0.0476 sec 4.158
f22 9 22 2.794 sec 4.23
f23 9 23 3.33 sec 2.23
f24 9 24 7.54 sec 0.4
f25 9 25 11.27 sec 0.05
f26 9 26 18.29 sec 0.0102
f27 9 27 25.05 sec 0.0065
f29 9 29 40.3 sec 0.0029
ne17 10 17 16.49 sec 0.1092
ne18 10 18 5.3068 sec 1.672
ne19 10 19 1.7511 sec 17.296
ne20 10 20 -7.04193 stable 90.48
ne21 10 21 -5.73172 stable 0.27
ne22 10 22 -8.02434 stable 9.25
ne23 10 23 -5.15364 sec 37.24
ne24 10 24 -5.948 sec 202.8
ne25 10 25 -2.06 sec 0.602
ne26 10 26 0.43 sec 0.197
ne27 10 27 7.09 sec 0.032
ne28 10 28 11.28 sec 0.018
ne29 10 29 18.05 sec 0.0156
ne30 10 30 23.1 sec 0.0075
ne31 10 31 30.84 sec 0.0034
ne32 10 32 37.18 sec 0.0035
na19 11 19 12.929 sec 0.058
na20 11 20 6.845 sec 447.9
na21 11 21 -2.1843 sec 22.49
na22 11 22 -5.1821 year 2.6024
na23 11 23 -9.52949 stable 100.
na24 11 24 -8.4176 sec 53852.4
na25 11 25 -9.3575 sec 59.1
