nosym
-28	28	29
-6	6	7
-150	100	126
-0.000395746	-0.00199116	-0.000980223	
-0.000420148	-0.00209182	-0.00100843	
-0.000417607	-0.00222244	-0.00105036	
-0.00041105	-0.00235751	-0.00109435	
-0.000412318	-0.00250617	-0.00112547	
-0.000444448	-0.00267959	-0.00110408	
-0.000471283	-0.00284494	-0.0010834	
-0.000473214	-0.00303919	-0.00109218	
-0.000500249	-0.00319335	-0.00110634	
-0.000537501	-0.00337274	-0.00113068	
-0.000582608	-0.00357328	-0.00123868	
-0.000619954	-0.0038001	-0.00121699	
-0.000625018	-0.00404342	-0.00120748	
-0.000636108	-0.00428051	-0.00118175	
-0.000672989	-0.00457465	-0.00124854	
-0.000680544	-0.00487047	-0.00121465	
-0.000694441	-0.00521907	-0.00120833	
-0.000719265	-0.00557219	-0.00119022	
-0.000739595	-0.00595186	-0.00114828	
-0.000781057	-0.0063686	-0.00112958	
-0.000809072	-0.00682319	-0.00110019	
-0.000827516	-0.00730549	-0.00103406	
-0.000864169	-0.00782892	-0.000968416	
-0.000878943	-0.00840887	-0.000882403	
-0.00089518	-0.00902967	-0.000798437	
-0.000916708	-0.00969122	-0.000648308	
-0.00095404	-0.0104426	-0.000518867	
-0.000966674	-0.0112641	-0.000341868	
-0.000978993	-0.0121511	-0.000155886	
-0.000962911	-0.0131055	9.70932e-05	
-0.000970618	-0.0141891	0.00038349	
-0.000971669	-0.0153701	0.00071228	
-0.000977999	-0.0166797	0.00110523	
-0.000959717	-0.0181078	0.00154239	
-0.000926362	-0.0196854	0.00206661	
-0.000904968	-0.0214318	0.00266432	
-0.000861619	-0.0234117	0.00334384	
-0.000813195	-0.0255408	0.0041375	
-0.000725533	-0.0279368	0.00501314	
-0.000638075	-0.0306275	0.00608336	
-0.000514104	-0.0336405	0.0072893	
-0.000389037	-0.037012	0.0085896	
-0.000242849	-0.0407695	0.0101865	
-7.20036e-05	-0.0450091	0.0119992	
0.000170003	-0.0497851	0.0140043	
0.000447411	-0.0551626	0.0163348	
0.00073828	-0.0612233	0.0190463	
0.00107023	-0.0681597	0.021932	
0.00150414	-0.0758218	0.0254693	
0.00194849	-0.0847079	0.0293474	
0.00250203	-0.0946294	0.0338473	
0.00311139	-0.106107	0.0388803	
0.00381607	-0.11907	0.044862	
0.00460613	-0.133889	0.051728	
0.0053596	-0.150936	0.0594714	
0.00628589	-0.170721	0.0687578	
0.00728829	-0.192869	0.0794211	
0.00853568	-0.218987	0.0921532	
0.00979063	-0.248917	0.10733	
0.0108168	-0.284324	0.125657	
0.0120467	-0.324847	0.147114	
0.0114459	-0.373343	0.174416	
0.00710095	-0.431144	0.209756	
-0.00568079	-0.499052	0.245359	
-0.0176495	-0.578892	0.278565	
-0.0283771	-0.673845	0.314235	
-0.0363723	-0.785061	0.35191	
-0.0400745	-0.922772	0.386431	
-0.0388534	-1.09872	0.402894	
-0.0322099	-1.29532	0.339453	
-0.0201756	-1.40314	0.195731	
-0.0124449	-1.41428	0.0937369	
-0.00816614	-1.4043	0.0444878	
-0.00654948	-1.39658	0.0204272	
-0.0059783	-1.39273	0.00804851	
-0.00559581	-1.39117	-0.00048367	
-0.00548246	-1.3928	-0.00935829	
-0.00652034	-1.3973	-0.0225514	
-0.00840871	-1.40541	-0.0484924	
-0.0125863	-1.41449	-0.104268	
-0.0197612	-1.39408	-0.214815	
-0.029878	-1.26938	-0.350761	
-0.0351919	-1.07046	-0.397315	
-0.0368141	-0.905155	-0.370493	
-0.037365	-0.776768	-0.332061	
-0.0342682	-0.672218	-0.295912	
-0.0289784	-0.583702	-0.260828	
-0.0236125	-0.508586	-0.232565	
-0.0141823	-0.441676	-0.207054	
-0.00382748	-0.384375	-0.180669	
0.00342915	-0.334877	-0.157212	
0.0088693	-0.292453	-0.132813	
0.00929993	-0.255614	-0.112148	
0.00858008	-0.224506	-0.0956112	
0.00736998	-0.197635	-0.0818486	
0.00695485	-0.174129	-0.0706839	
0.0056108	-0.15426	-0.0611924	
0.00463874	-0.136688	-0.0529944	
0.00392952	-0.121376	-0.0460669	
0.00326987	-0.10822	-0.0398967	
0.00260324	-0.0964176	-0.0346804	
0.00199372	-0.0862581	-0.0301145	
0.0015974	-0.0772074	-0.0259805	
0.001117	-0.0692267	-0.0224803	
0.000801056	-0.0621446	-0.019416	
0.00046467	-0.0559401	-0.0166929	
0.000193351	-0.0504486	-0.0143242	
-2.87728e-05	-0.045582	-0.0122353	
-0.000196041	-0.0412457	-0.0104195	
-0.000373503	-0.0374301	-0.00883801	
-0.000520799	-0.0339907	-0.00742914	
-0.000616765	-0.0309266	-0.00620525	
-0.000720803	-0.0281816	-0.00514944	
-0.00081103	-0.0257419	-0.00420236	
-0.000858755	-0.0235634	-0.00341239	
-0.000901251	-0.021588	-0.00271208	
-0.000936357	-0.0198105	-0.00209176	
-0.00096276	-0.0182117	-0.00157668	
-0.000979757	-0.0167534	-0.00111778	
-0.000987265	-0.0154408	-0.000719273	
-0.000979709	-0.0142391	-0.000388179	
-0.000980003	-0.0131588	-0.00010548	
-0.000978457	-0.0121559	0.000137426	
-0.000947786	-0.0112585	0.000347213	
-0.000941507	-0.0104601	0.000510611	
-0.000926191	-0.00970064	0.000681369	
-0.000418475	-0.00198405	-0.00110125	
-0.000439913	-0.00207563	-0.00113118	
-0.000451459	-0.0022374	-0.00116504	
-0.000452592	-0.00238049	-0.00120829	
-0.000456653	-0.00250318	-0.00126107	
-0.000477158	-0.0026442	-0.00127298	
-0.000511184	-0.00281003	-0.00124473	
-0.000537722	-0.00297576	-0.00122434	
-0.000556092	-0.00317391	-0.00125282	
-0.000560326	-0.0033834	-0.00136712	
-0.000602641	-0.00359251	-0.00148866	
-0.000651243	-0.00381493	-0.00145946	
-0.000666077	-0.00405702	-0.00143732	
-0.000712989	-0.00437893	-0.00153627	
-0.000736365	-0.00465474	-0.0015531	
-0.00074844	-0.00492944	-0.0015384	
-0.000783405	-0.0052655	-0.00155651	
-0.000806861	-0.00561339	-0.00156165	
-0.000827505	-0.00601447	-0.00154045	
-0.000873004	-0.00643775	-0.00156246	
-0.000895242	-0.00690625	-0.00155618	
-0.000933815	-0.0073948	-0.0015342	
-0.000976074	-0.00794238	-0.0015393	
-0.000989984	-0.00852708	-0.00147719	
-0.00103079	-0.00917495	-0.00144742	
-0.00106746	-0.0098753	-0.00137646	
-0.00109676	-0.0106252	-0.00130554	
-0.00113948	-0.0114972	-0.0011975	
-0.00114752	-0.0124032	-0.00106254	
-0.00117356	-0.0134048	-0.000945427	
-0.00120944	-0.0145045	-0.000765968	
-0.00121588	-0.0157287	-0.000532743	
-0.00125222	-0.0170735	-0.000284001	
-0.00126167	-0.0185677	8.9121e-06	
-0.00126351	-0.0201984	0.000371335	
-0.0012691	-0.0220458	0.000770366	
-0.00125618	-0.0240467	0.00123847	
-0.00123187	-0.0263128	0.00178694	
-0.00119672	-0.0288059	0.00242787	
-0.00114678	-0.0316351	0.0031833	
-0.00110113	-0.0347612	0.00404444	
