
          6He(d,3he)5H

tetCM  Cs35MeV/n    Cs30MeV/n    Cs25MeV/n 
        mb/sr        mb/sr        mb/sr
1       34.44        34.48        28.34   
2       32.87        33.19        27.5   
3       30.38        31.12        26.14  
4       27.15        28.4         24.33  
5       23.42        25.2         22.16  
6       19.43        21.69        19.73  
7       15.43        18.06        17.15  
8       11.64        14.5         14.52  
9       8.265        11.16        11.94  
10      5.427        8.167        9.511  
11      3.207        5.618        7.297  
12      1.627        3.563        5.357  
13      0.6561       2.016        3.725  
14      0.2238       0.9586       2.416  
15      0.2313       0.3419       1.426  
16      0.5647       0.09844      0.7359 
17      1.107        0.1483       0.313  
18      1.751        0.4074       0.1165 
19      2.401        0.7946       0.1003 
20      2.984        1.237        0.2169 
21      3.451        1.673        0.42   
22      3.773        2.056        0.6678 
23      3.939        2.356        0.9244 
24      3.958        2.553        1.161  
25      3.847        2.645        1.357  
26      3.633        2.636        1.498  
27      3.345        2.54         1.579  
28      3.013        2.374        1.598  
29      2.663        2.159        1.561  
30      2.319        1.916        1.475  
31      1.999        1.664        1.351  
32      1.717        1.42         1.201  
33      1.481        1.196        1.035  
34      1.293        1.002        0.8654 
35      1.155        0.8455       0.7017 
36      1.062        0.7281       0.5517 
37      1.009        0.65         0.4216 
38      0.988        0.6089       0.3155 
39      0.9922       0.6005       0.2356 
40      1.013        0.6194       0.1825 
41      1.043        0.6594       0.1551 
42      1.075        0.714        0.1515 
43      1.104        0.7771       0.1686 
44      1.125        0.8426       0.2029 
45      1.134        0.9055       0.2503 
46      1.131        0.9614       0.3068 
47      1.115        1.007        0.3686 
48      1.085        1.04         0.4319 
49      1.043        1.059        0.4934 
50      0.9916       1.064        0.5504 
51      0.9318       1.055        0.6006 
52      0.8662       1.033        0.6423 
53      0.7971       0.9993       0.6744 
54      0.7266       0.9561       0.6963 
55      0.6567       0.9053       0.708  
56      0.589        0.849        0.7098 
57      0.5247       0.7892       0.7025 
58      0.465        0.728        0.687  
59      0.4104       0.6669       0.6645 
60      0.3613       0.6075       0.6363 
61      0.3179       0.5509       0.6039 
62      0.28         0.4979       0.5685 
63      0.2474       0.4493       0.5315 
64      0.2197       0.4054       0.494  
65      0.1963       0.3664       0.4571 
66      0.1768       0.3323       0.4215 
67      0.1605       0.3028       0.3882 
68      0.147        0.2776       0.3574 
69      0.1357       0.2564       0.3297 
70      0.1261       0.2387       0.3053 
71      0.1178       0.224        0.2842 
72      0.1105       0.2119       0.2663 
73      0.1039       0.2017       0.2515 
74      0.09776      0.1932       0.2396 
75      0.09189      0.1858       0.2303 
76      0.08619      0.1792       0.2233 
77      0.08058      0.1731       0.2181 
78      0.07505      0.1673       0.2145 
79      0.06956      0.1614       0.212  
80      0.06414      0.1555       0.2104 
81      0.05881      0.1493       0.2092 
82      0.05361      0.1429       0.2083 
83      0.04857      0.1362       0.2073 
84      0.04372      0.1293       0.206  
85      0.03911      0.1221       0.2043 
86      0.03476      0.1148       0.2021 
87      0.0307       0.1073       0.1992 
88      0.02694      0.09983      0.1956 
89      0.0235       0.0924       0.1913 
90      0.02038      0.08509      0.1863 
91      0.01757      0.07798      0.1807 
92      0.01508      0.07111      0.1745 
93      0.01288      0.06455      0.1677 
94      0.01097      0.05834      0.1605 
95      0.00931      0.05252      0.153  
96      0.00789      0.04711      0.1453 
97      0.00669      0.04212      0.1373 
98      0.00569      0.03756      0.1294 
99      0.00485      0.03342      0.1215 
100     0.00417      0.02971      0.1137 
101     0.00361      0.02639      0.1061 
102     0.00315      0.02345      0.09875
103     0.00279      0.02086      0.09171
104     0.00249      0.01861      0.08503
105     0.00226      0.01665      0.07872
106     0.00207      0.01495      0.07282
107     0.00192      0.0135       0.06732
108     0.00179      0.01225      0.06224
109     0.00168      0.01118      0.05756
110     0.00158      0.01026      0.05329
111     0.00149      0.00947      0.04939
112     0.0014       0.00879      0.04585
113     0.00132      0.0082       0.04266
114     0.00124      0.00767      0.03977
115     0.00115      0.0072       0.03717
116     0.00107      0.00677      0.03483
117     9.929E-4     0.00637      0.03272
118     9.139E-4     0.00599      0.03082
119     8.368E-4     0.00563      0.0291 
120     7.622E-4     0.00529      0.02755
121     6.909E-4     0.00495      0.02613
122     6.236E-4     0.00462      0.02485
123     5.609E-4     0.00429      0.02366
124     5.034E-4     0.00398      0.02258
125     4.514E-4     0.00366      0.02157
126     4.052E-4     0.00336      0.02064
127     3.648E-4     0.00307      0.01978
128     3.304E-4     0.00279      0.01896
129     3.017E-4     0.00253      0.0182 
130     2.784E-4     0.00228      0.01749
131     2.603E-4     0.00205      0.01681
132     2.47E-4      0.00184      0.01616
133     2.378E-4     0.00164      0.01555
134     2.322E-4     0.00147      0.01495
135     2.297E-4     0.00132      0.01438
136     2.296E-4     0.00119      0.01382
137     2.313E-4     0.00108      0.01328
138     2.344E-4     9.834E-4     0.01273
139     2.381E-4     9.069E-4     0.01219
140     2.419E-4     8.457E-4     0.01165
141     2.455E-4     7.98E-4      0.0111 
142     2.483E-4     7.619E-4     0.01055
143     2.5E-4       7.352E-4     0.00998
144     2.502E-4     7.158E-4     0.00941
145     2.488E-4     7.019E-4     0.00882
146     2.455E-4     6.917E-4     0.00823
147     2.404E-4     6.835E-4     0.00764
148     2.335E-4     6.761E-4     0.00704
149     2.248E-4     6.687E-4     0.00645
150     2.146E-4     6.604E-4     0.00588
