               p1x               p1y               p1z               p2x               p2y               p2z               p3x               p3y               p3z               p4x               p4y               p4z               p5x               p5y               p5z  mu1  mu2  mu3  mu4
  16.47961294       8.059245399      -8.988967266      -6.941117220       5.190701665      -10.68917419      -1.644221378      -.1301201685       2.006486616       4.888730244       5.580533168       8.411283877      -12.78300459      -18.70036006       9.260370963       0.5 -0.5  0.5 -0.5
  3.560959636      -4.372191105      -7.542449544      -4.907698709       15.24664550       5.397716876      -10.58363396      -1.843422879      -5.985719913      -10.83054467      -5.546794564      -5.306036383       22.76091769      -3.484236955       13.43648896      -0.5  0.5  0.5 -0.5
 -21.13585823      -1.778358855      -.7684667798       3.013776869       1.901602714      -2.027655897       8.357020229      -10.83482916       10.62948560       10.02312239      -.5963432393      -5.092441159      -.2580612535       11.30792854      -2.740921761       0.5 -0.5  0.5 -0.5
 -1.715782852       14.60593149      -15.11466170       1.218436746      -.3298319462       3.979209808      -8.196801767      -2.801102983       11.08488538      -6.241804250      -7.606532552       8.800349259       14.93595212      -3.868464005      -8.749782743      -0.5  0.5 -0.5  0.5
 -9.483285031       8.062362200       7.080157365       4.020614329      -8.502653728       3.400566455       4.747083152       11.28273602      -7.372008114      -15.68527616      -1.020950803      -7.403737495       16.40086371      -9.821493693       4.295021788       0.5 -0.5 -0.5  0.5
  3.574928911      -16.29092873      -7.928531824      -10.84785984      -1.801796688      -3.854149412      -5.006883993       3.894141388       5.231252324       5.256479043       10.66393039      -11.26638029       7.023335877       3.534653638       17.81780920       0.5 -0.5  0.5 -0.5
 -1.443661099      -10.45791686      -8.587741852       1.558142669      -13.00360472       11.85337826      -3.722466191      -1.158026868      -.4937036590       4.836870861       2.286694953       12.40520500      -1.228886240       22.33285349      -15.17713775      -0.5  0.5 -0.5  0.5
  1.785500618       5.917511585      -3.625563852      -.5112592300       5.920646763      -2.501659749       2.605815191      -17.48540812      -3.633750827      -8.783518102      -7.648638821       17.29445318       4.903461524       13.29588860      -7.533478750       0.5 -0.5 -0.5  0.5
 -14.46252343       12.31259444      0.4711126705      -2.712539177      -9.923207918       3.492615978      -8.553358366      0.8354410527       2.010249951       6.449791958      -13.02510258      -3.619361450       19.27862902       9.800275002      -2.354617150      -0.5  0.5  0.5 -0.5
 -8.747762937      -7.923384943       8.490297709       3.248780315       4.424213531       2.563700777       4.640553346      -6.873518026       3.317080830       13.02272932       5.885370059       11.37801388      -12.16430005       4.487319378      -25.74909320       0.5 -0.5  0.5 -0.5
 -10.55959488       3.137760257       10.04884892       11.30148258       7.457199726      -16.63813626      -.8346769609      -7.551209478       1.746421166      -1.954036720      -.3841206919      -10.48665219       2.046825973      -2.659629813       15.32951836      -0.5  0.5 -0.5  0.5
  4.575803692      -12.17707978       5.292023586      -1.647254385      -1.800747811      -4.709000168      -9.300289143       3.223946318      -13.30232062      -13.58921796      -2.633692639      -.1633346449       19.96095780       13.38757391       12.88263185      -0.5  0.5 -0.5  0.5
 -10.42938314       9.863946342       3.377677659       1.596702731      -9.871667231      -5.215472929      -2.934438694       9.405644838       3.315280260       5.414702479      -18.45902574      -7.879850116       6.352416624       9.061101793       6.402365126       0.5 -0.5 -0.5  0.5
  13.10666004       7.108185555       5.312850186       2.745748120       16.86660254      -4.875520896      -3.716399487      -1.426330280      -8.898679596      -7.198320247      -1.842934689       8.451775900      -4.937688430      -20.70552313      0.9574407101E-002  0.5 -0.5  0.5 -0.5
  1.507617037       7.043786632      -6.384153458      -16.60049108      -8.466306155       6.002303760       1.328567136       13.71334187       4.298095108      -2.691083330      -3.355267927      -10.29359922       16.45539023      -8.935554422       6.377353809      -0.5  0.5  0.5 -0.5
 -2.879859678       5.442220358      -.4672435892      -13.94915175       2.891229058       17.08452797      -2.834346665       9.034408047      -3.419522459      -3.014942892      -5.525960800      -4.818995918       22.67830099      -11.84189666      -8.378766009       0.5 -0.5  0.5 -0.5
  12.87803962       6.469918542       5.937934851      -4.140414569      0.8013166991       5.207827496      -13.14912294      -9.721821634      -5.806310191       14.08451181      -7.738670749      -5.125291607      -9.673013931       10.18925714      -.2141605497       0.5 -0.5  0.5 -0.5
 -3.584590097       15.36081345      -7.708532693       3.231840699      -11.99687968      -3.705632766       11.65177638      0.3183967297       5.212385371      -11.22916462       5.116405205       10.73177515      -.6986235699E-001 -8.798735699      -4.529995066       0.5 -0.5  0.5 -0.5
  15.97401107       2.610879504      -4.559101153      -11.19206186      -10.86581091       12.39318218      -.4889432124E-001  2.653326570      -11.63181280       3.187701895      0.4697345671       8.385489765      -7.920756789       5.131870265      -4.587757994       0.5 -0.5  0.5 -0.5

