p1x	p1y	p1z	p2x	p2y	p2z	p3x	p3y	p3z	mu1	mu2	mu3	mu4
81.72389	74.96152	40.13933	-28.6628	-31.13725	-34.61179	-53.06109	-43.82427	-5.527539	0.5	-0.5	0.5	-0.5
-54.39246	10.94644	-155.904	20.72081	-8.378328	105.8655	33.67164	-2.568113	50.03855	-0.5	0.5	0.5	-0.5
-45.71613	35.52069	-80.09351	15.40679	35.30153	0.9361517	30.30934	-70.82222	79.15736	0.5	-0.5	0.5	-0.5
78.95027	-54.37221	28.00618	10.56861	28.06082	-39.09202	-89.51887	26.31139	11.08584	-0.5	0.5	-0.5	0.5
9.147374	-61.72926	-31.0484	71.03144	1.731053	-19.03721	-80.17882	59.99821	50.08561	0.5	-0.5	-0.5	0.5
121.4291	47.56175	-29.66615	-70.90812	30.1966	21.58283	-50.52096	-77.75836	8.083319	0.5	-0.5	0.5	-0.5
-77.73278	-87.45761	-3.718976	-14.27822	37.37048	-24.64634	92.011	50.08713	28.36532	-0.5	0.5	-0.5	0.5
-55.29768	35.27209	-5.196705	-27.16347	35.86574	36.94804	82.46115	-71.13784	-31.75133	0.5	-0.5	-0.5	0.5
-51.28989	-0.4010704	20.02727	43.52274	5.403612	-21.37617	7.767154	-5.002542	1.3489	-0.5	0.5	0.5	-0.5
46.72359	-37.18336	-30.49048	35.8163	-46.0301	3.038406	-82.5399	83.21346	27.45208	0.5	-0.5	0.5	-0.5
-29.84614	15.47456	-14.83018	-5.400549	-2.989398	93.56859	35.24669	-12.48516	-78.73841	-0.5	0.5	-0.5	0.5
46.63118	-16.43064	107.5076	-65.6394	-9.275472	-63.91352	19.00822	25.70611	-43.59405	-0.5	0.5	-0.5	0.5
-60.06322	8.818464	13.61766	23.61251	-0.3909349	-51.84594	36.4507	-8.427529	38.22828	0.5	-0.5	-0.5	0.5
97.46108	3.148265	-99.4922	-46.10136	8.392547	48.80747	-51.35972	-11.54081	50.68473	0.5	-0.5	0.5	-0.5
-57.56549	-7.638008	126.3977	13.27672	-11.38263	-44.98398	44.28877	19.02064	-81.41372	-0.5	0.5	0.5	-0.5
11.20698	44.04145	-36.45924	-8.151366	21.17358	-7.918814	-3.055613	-65.21503	44.37806	0.5	-0.5	0.5	-0.5
87.46708	-3.308029	-27.44516	-72.49589	30.45782	-5.676068	-14.97119	-27.14979	33.12123	0.5	-0.5	0.5	-0.5
-146.3147	49.12419	24.39879	87.83002	-45.09958	-44.83329	58.48468	-4.024618	20.4345	0.5	-0.5	0.5	-0.5
-72.59277	-22.01611	-143.9266	25.22899	-9.096997	81.84487	47.36378	31.1131	62.08177	0.5	-0.5	0.5	-0.5
-0.2987603	95.17153	77.75039	13.82421	-66.14903	-46.62814	-13.52545	-29.02251	-31.12225	0.5	-0.5	0.5	-0.5
56.39599	-18.14589	-29.23248	-27.90637	-16.05174	32.70515	-28.48962	34.19764	-3.47267	-0.5	0.5	0.5	-0.5
-65.38786	-86.09097	58.11383	25.91688	-4.672561	-21.74898	39.47098	90.76354	-36.36486	0.5	-0.5	0.5	-0.5
-31.43487	10.8584	16.70924	25.29894	-19.64405	-40.56031	6.135928	8.785654	23.85107	-0.5	0.5	-0.5	0.5
14.73226	-56.99145	-73.40065	14.62708	29.40398	114.9523	-29.35934	27.58747	-41.55167	0.5	-0.5	-0.5	0.5
-23.41667	56.1062	-45.48527	-3.650846	-86.88398	8.627801	27.06752	30.77778	36.85747	0.5	-0.5	0.5	-0.5
126.5303	35.68011	33.99024	-118.6417	-29.98577	-21.89962	-7.888576	-5.694348	-12.09062	-0.5	0.5	-0.5	0.5
8.474631	-20.63339	33.76782	5.771683	13.40244	6.901995	-14.24631	7.230956	-40.66981	0.5	-0.5	-0.5	0.5
-88.61356	-132.3559	-21.91097	46.77406	60.07243	26.74136	41.83951	72.28343	-4.830392	-0.5	0.5	0.5	-0.5
-80.63001	23.9706	25.51029	23.50851	51.23541	-9.708256	57.1215	-75.206	-15.80204	0.5	-0.5	0.5	-0.5
55.32627	15.02	-131.1358	-15.28601	20.76897	101.1281	-40.04026	-35.78897	30.00767	-0.5	0.5	-0.5	0.5
33.29672	20.65434	-6.37101	31.47214	68.09	-10.32294	-64.76886	-88.74434	16.69395	-0.5	0.5	-0.5	0.5
44.48316	-61.11916	9.857746	4.73972	44.22537	-25.65227	-49.22288	16.89379	15.79452	0.5	-0.5	-0.5	0.5
-37.17941	108.0542	-11.2678	54.30357	5.996836	0.9684408	-17.12416	-114.051	10.29936	0.5	-0.5	0.5	-0.5
-2.07358	-10.36514	-129.4628	-5.667012	25.59675	28.46234	7.740593	-15.23161	101.0004	-0.5	0.5	0.5	-0.5
-37.6301	-28.36791	138.1074	48.70332	30.56756	-70.32769	-11.07322	-2.199652	-67.77968	0.5	-0.5	0.5	-0.5
6.130172	24.06445	-163.786	18.53019	-17.5126	77.01681	-24.66037	-6.551848	86.76923	0.5	-0.5	0.5	-0.5
-79.95994	23.58425	27.77137	68.65097	-2.983925	-33.01339	11.30898	-20.60033	5.242022	0.5	-0.5	0.5	-0.5
