p1x		p1y		p1z		p2x		p2y		p2z		p3x		p3y		p3z		mu1	mu2	mu3	mu4
81.72389	74.96152	40.13933	-28.6628	-31.13725	-34.61179	-53.06109	-43.82427	-5.527539	0.5	-0.5	0.5	-0.5
-54.39246	10.94644	-155.904	20.72081	-8.378328	105.8655	33.67164	-2.568113	50.03855	-0.5	0.5	0.5	-0.5
-45.71613	35.52069	-80.09351	15.40679	35.30153	0.9361517	30.30934	-70.82222	79.15736	0.5	-0.5	0.5	-0.5
78.95027	-54.37221	28.00618	10.56861	28.06082	-39.09202	-89.51887	26.31139	11.08584	-0.5	0.5	-0.5	0.5
9.147374	-61.72926	-31.0484	71.03144	1.731053	-19.03721	-80.17882	59.99821	50.08561	0.5	-0.5	-0.5	0.5
121.4291	47.56175	-29.66615	-70.90812	30.1966		21.58283	-50.52096	-77.75836	8.083319	0.5	-0.5	0.5	-0.5
-77.73278	-87.45761	-3.718976	-14.27822	37.37048	-24.64634	92.011		50.08713	28.36532	-0.5	0.5	-0.5	0.5
-55.29768	35.27209	-5.196705	-27.16347	35.86574	36.94804	82.46115	-71.13784	-31.75133	0.5	-0.5	-0.5	0.5
-51.28989	-0.4010704	20.02727	43.52274	5.403612	-21.37617	7.767154	-5.002542	1.3489		-0.5	0.5	0.5	-0.5
46.72359	-37.18336	-30.49048	35.8163		-46.0301	3.038406	-82.5399	83.21346	27.45208	0.5	-0.5	0.5	-0.5
-29.84614	15.47456	-14.83018	-5.400549	-2.989398	93.56859	35.24669	-12.48516	-78.73841	-0.5	0.5	-0.5	0.5
46.63118	-16.43064	107.5076	-65.6394	-9.275472	-63.91352	19.00822	25.70611	-43.59405	-0.5	0.5	-0.5	0.5
-60.06322	8.818464	13.61766	23.61251	-0.3909349	-51.84594	36.4507		-8.427529	38.22828	0.5	-0.5	-0.5	0.5
97.46108	3.148265	-99.4922	-46.10136	8.392547	48.80747	-51.35972	-11.54081	50.68473	0.5	-0.5	0.5	-0.5
-57.56549	-7.638008	126.3977	13.27672	-11.38263	-44.98398	44.28877	19.02064	-81.41372	-0.5	0.5	0.5	-0.5
11.20698	44.04145	-36.45924	-8.151366	21.17358	-7.918814	-3.055613	-65.21503	44.37806	0.5	-0.5	0.5	-0.5
87.46708	-3.308029	-27.44516	-72.49589	30.45782	-5.676068	-14.97119	-27.14979	33.12123	0.5	-0.5	0.5	-0.5
-146.3147	49.12419	24.39879	87.83002	-45.09958	-44.83329	58.48468	-4.024618	20.4345		0.5	-0.5	0.5	-0.5
-72.59277	-22.01611	-143.9266	25.22899	-9.096997	81.84487	47.36378	31.1131		62.08177	0.5	-0.5	0.5	-0.5

